exposure,outcome,v7_role,n_iv,ivw_or,ivw_lci,ivw_uci,ivw_p,wm_or,wm_p,egger_or,egger_p,egger_int_p,presso_global_p,presso_n_outliers,presso_or_corr,presso_p_corr,Q_p
BBJ_TG,FinnGen_NTG,subtype,50,1.094737495855,0.8687408390012352,1.3795255512664717,0.4429297549344212,1.3647163307168284,0.1387697766460262,1.2319692669122697,0.3467706073132131,0.5295304967370819,0.58,0.0,1.094737495855,0.4429297549344212,0.5669567427856941
BBJ_HDLC,FinnGen_NTG,subtype,76,0.977854676743212,0.813782769140152,1.1750061626874924,0.811122054214106,1.1677354589851625,0.3620012195098036,1.1707472880356165,0.3116237547553862,0.2296589026713313,0.386,0.0,1.0023487794198158,0.9780657794311496,0.3902053544145999
KOGES_LDL,BBJ_Cataract,negative_control,43,0.942692138547419,0.8623722730936932,1.0304928576739572,0.1939788138991915,0.9310249212331625,0.0956432917389804,0.8724626731252368,0.0410700904089615,0.2662188384333173,0.0,3.0,0.947465885897261,0.0421673866437106,2.6241625987744044e-06
KOGES_TC,BBJ_Cataract,negative_control,44,0.9056869626454928,0.831224152238694,0.986820308453297,0.0236297382416257,0.8582219898213103,9.081749406047697e-08,0.7751966611525176,0.0162236790404375,0.1484929265658935,0.0,3.0,0.8771929191184715,4.4728894708991095e-06,9.371865143603664e-06
KOGES_TG,BBJ_Cataract,negative_control,39,0.9039927746745264,0.8503650193070882,0.9610025319828408,0.0012169948926356,0.8907676168992555,0.0158770978140835,0.9324260218697003,0.1038036604656537,0.4801769963233367,0.066,1.0,0.898738259367615,1.7941216687431104e-06,0.0687249272084808
KOGES_LIP,BBJ_Cataract,negative_control,9,0.8682329865627101,0.8145424416329716,0.9254625424359094,1.4349274984059445e-05,0.8872468694757017,0.0011338132772489,0.9100268023971007,0.5331274519244456,0.7773066117155636,0.047,1.0,0.8550400366914465,1.1870610002975815e-10,0.0485574358031604
BBJ_LDLC,BBJ_Cataract,negative_control,39,0.8627106602147472,0.7794348550409027,0.9548837576799252,0.0043529242356697,0.9407658011437005,0.5670793346554026,0.8079693749404564,0.0041990627061027,0.2985726394708542,0.0,3.0,0.8214008522054108,9.53373428113301e-09,2.515601602581796e-07
BBJ_TC,BBJ_Cataract,negative_control,65,0.8167637677523787,0.743603219271082,0.8971223295227126,2.3634566668442646e-05,0.8097053986640782,0.002885615337193,0.7210774603590956,0.000240473785092,0.1205522156968939,0.0,1.0,0.8000263301060709,3.4789613657716733e-12,4.953106949778796e-05
BBJ_TG,BBJ_Cataract,negative_control,60,0.905663051203795,0.8412355486697515,0.9750248472176348,0.0084943827162656,0.8985487800526832,0.012501412222055,0.8997298334976217,0.0425203238820427,0.9937470040554692,0.003,1.0,0.9066891527456937,6.036065773808306e-05,0.0046179860991739
BBJ_HDLC,BBJ_Cataract,negative_control,82,1.0241482564712503,0.9665668698418672,1.0851599449137974,0.4189678241001613,0.9947988633811676,0.9070616267699892,0.999360379200316,0.9886038192602824,0.6358027858318028,0.0,2.0,0.98888883196357,0.5741552024831234,9.10568434107084e-05
KOGES_LDL,TWB_Cataract,negative_control,25,1.0476747934229351,0.9323907857677178,1.1772129127917357,0.433606262150414,1.0940760583110216,0.1396731298432964,1.0566445870841592,0.6769985061919451,0.943192764042063,0.725,0.0,1.0476747934229353,0.433606262150414,0.7064554885469515
KOGES_TC,TWB_Cataract,negative_control,26,1.0169452786047284,0.913069332452458,1.1326387415714636,0.7598592387219263,1.0212530134640634,0.7568415057429798,1.1564201763764421,0.325725547573417,0.3471776738278166,0.472,0.0,1.0169452786047284,0.7598592387219263,0.4696680324546363
KOGES_TG,TWB_Cataract,negative_control,23,1.0507137757003515,0.9266055027946046,1.1914449408263506,0.4404796919925154,0.9738692341617714,0.6875820115006206,1.0264955972965277,0.7933339762190164,0.9628348060907328,0.136,0.0,1.0304602933773612,0.5181082197228306,0.1305472962222443
KOGES_LIP,TWB_Cataract,negative_control,4,1.0284088026194151,0.918249978708886,1.151782945633369,0.6279562948601287,1.0101773293839433,0.8572377700062024,0.7978543640380729,0.0109886638696039,0.0081989291585333,0.716,0.0,1.0284088026194151,0.6279562948601287,0.7340031216079304
BBJ_LDLC,TWB_Cataract,negative_control,19,1.0568236092197942,0.8991510772745592,1.242145140269136,0.5025750978689387,1.1501394873275397,0.1325436758245597,1.10226694556695,0.6794180095693001,0.8516113548321896,0.414,0.0,1.0579773036880638,0.4789811310742365,0.401927375624191
BBJ_TC,TWB_Cataract,negative_control,29,0.9621136569447696,0.8217189035122935,1.1264955508788403,0.6312812900703615,0.9214477104506008,0.5475426794910783,1.1692444632243495,0.4967639638079788,0.3685506390642512,0.581,0.0,0.9621136569447696,0.6312812900703615,0.5715758604499426
BBJ_TG,TWB_Cataract,negative_control,27,1.0781594433719948,0.9431007138793844,1.2325595434560084,0.2704242496462332,1.1275303773773873,0.3370604280365697,1.091465846317885,0.5036979287485006,0.9112016305400316,0.499,0.0,1.0781594433719948,0.2704242496462332,0.4814486767119859
BBJ_HDLC,TWB_Cataract,negative_control,37,0.9685168361689892,0.8896155784914503,1.0544159574334653,0.4606099774863795,0.9513778228257799,0.5344398155812302,0.8790262411194626,0.0523876768737751,0.0810435636769403,0.928,0.0,0.9685168361689893,0.4606099774863795,0.9245237929380726
KOGES_LDL,TWB_Macular,negative_control,25,0.8646818096003775,0.6476708816712242,1.1544051971651303,0.3240678816416893,1.0058688665032336,0.9480029200892324,0.9865286255009962,0.9577934570002884,0.5711826242015947,0.979,0.0,0.8646818096003774,0.3240678816416893,0.9741736991517004
KOGES_TC,TWB_Macular,negative_control,26,0.9289074869848052,0.7111617160793329,1.213323355106154,0.5884139622745379,0.9054971842898185,0.3082226346152255,1.316283724357832,0.4242592420590316,0.2761280191049601,0.633,0.0,0.9289074869848053,0.5884139622745379,0.6141600386060773
KOGES_TG,TWB_Macular,negative_control,23,0.908125402832019,0.7244511342430244,1.1383676666205147,0.4032014518677888,0.8818864622625694,0.3301347787640245,1.1197440465401718,0.4628808054567991,0.1100127879396418,0.947,0.0,0.908125402832019,0.4032014518677888,0.9402266344734164
KOGES_LIP,TWB_Macular,negative_control,4,1.0959317724607394,0.826610223057112,1.4530021724712614,0.5243685146069202,1.0045114629078227,0.9759519655832648,1.1748940449635223,0.7401728303003419,0.8809488250490367,0.757,0.0,1.0959317724607394,0.5243685146069202,0.7806549862511033
BBJ_LDLC,TWB_Macular,negative_control,19,1.0733791618128363,0.7293558464862987,1.5796717481110518,0.7194565521919949,1.0076229812590851,0.9250923471566488,0.822492788873766,0.6524298864213522,0.5119595448102823,0.91,0.0,1.0733791618128363,0.7194565521919949,0.9087164048698082
BBJ_TC,TWB_Macular,negative_control,29,0.8537190167008408,0.5766358010930943,1.263945384755922,0.4295410021350442,0.8146989142350155,0.3066533890074838,1.7373827014853065,0.3101670797377056,0.168198328687983,0.676,0.0,0.8537190167008407,0.4295410021350442,0.6710437802617042
BBJ_TG,TWB_Macular,negative_control,27,0.7741889835149098,0.5294799180721038,1.1319949288694802,0.1867071383557574,1.0832156855515547,0.6320452105731016,1.2232397300522067,0.5485630808399924,0.1580386278811705,0.293,0.0,0.814112522561128,0.2267120822634357,0.2882091295432301
BBJ_HDLC,TWB_Macular,negative_control,37,0.952313166579027,0.7709403107802164,1.1763561388065975,0.6503543612973812,0.9190955070208217,0.3799861774931627,1.0440176016527014,0.820057142346667,0.563867004000371,0.692,0.0,0.952313166579027,0.6503543612973812,0.6727544973551158
KOGES_LDL,TWB_Retinopathy,negative_control,25,0.9713665777269276,0.6949050476891342,1.3578157641287156,0.8650036156430533,0.8569275998466698,0.2305734947099779,0.9843435470293207,0.9680568176332126,0.956870498375114,0.152,0.0,0.965522514028531,0.8057594843347607,0.1597300200311766
KOGES_TC,TWB_Retinopathy,negative_control,26,0.914862975761922,0.7064557601039702,1.1847511361458505,0.4999069176554235,0.8932794314117288,0.1789129694077151,0.7512732921190889,0.3348467768540619,0.4708531276423418,0.89,0.0,0.914862975761922,0.4999069176554235,0.8772886461891014
KOGES_TG,TWB_Retinopathy,negative_control,23,0.9086062895585052,0.7012226397243726,1.1773227826040766,0.4684155549678235,0.8517107540760623,0.4548546244591086,0.8495673324406524,0.4619835495893899,0.7238928902144597,0.315,0.0,0.906337599588184,0.381668089105092,0.3179836001189926
KOGES_LIP,TWB_Retinopathy,negative_control,4,0.8656392546640039,0.6603525683256309,1.1347443095666805,0.2961477163217418,0.8880114429156216,0.3219565102406376,1.0678610503713815,0.8969977267276374,0.6765246041243332,0.686,0.0,0.8656392546640039,0.2961477163217418,0.6925955832622033
BBJ_LDLC,TWB_Retinopathy,negative_control,19,0.8517645752827167,0.5857560398166232,1.2385751787274315,0.400952233920705,0.8184234852273069,0.1979010857628677,0.6044071460500708,0.309507995136341,0.454295279324898,0.706,0.0,0.8517645752827167,0.400952233920705,0.6877255516000442
BBJ_TC,TWB_Retinopathy,negative_control,29,0.9926106443643824,0.6788887814412016,1.4513067799026649,0.969474801891799,0.7698614913037813,0.1820199452289117,0.3531702887973265,0.0488058046333929,0.0380955419672065,0.625,0.0,0.9926106443643823,0.969474801891799,0.61496663715842
BBJ_TG,TWB_Retinopathy,negative_control,27,0.8272938563546974,0.5499862164001998,1.2444223225118227,0.36271389872817,1.0296067824715203,0.951354566751082,1.3859297946714195,0.3599845762768682,0.1826691573341108,0.132,0.0,0.9233069476912237,0.6289714397822768,0.1306290909025286
BBJ_HDLC,TWB_Retinopathy,negative_control,37,0.9837911284114592,0.7157962032690399,1.3521236630216062,0.9197754965187944,1.0996923061080586,0.5586705659218197,1.1591535237887223,0.5721016981833567,0.4721259751405458,0.004,1.0,0.9319575312352988,0.5041907691444677,0.0034049278252188
BBJ_LDLC,UKB_H401_All,supplementary,6,1.25467388729693,0.8159570598497125,1.929276233916936,0.3013774790319123,1.6828814823819367,0.1943229494134322,3.0375397410228153,0.0706095084145763,0.1056132717419571,0.495,0.0,1.2546738872969299,0.3013774790319123,0.4819011486578738
BBJ_TC,UKB_H401_All,supplementary,16,0.7671419562270758,0.5248707946714392,1.1212412406605718,0.170998473455832,0.6651798780375988,0.2498151084622939,0.8699955263904965,0.8084417084491015,0.815961011858978,0.557,0.0,0.7671419562270759,0.170998473455832,0.5550134510847888
BBJ_TG,UKB_H401_All,supplementary,10,0.6968030335826438,0.3504410754664411,1.3854953131955867,0.30292437238566,0.9215878794792974,0.7437951460978349,0.6724135169626706,0.6000559653916846,0.8220934743310054,0.089,0.0,0.7844656943679121,0.2559820047811473,0.0748798892662081
BBJ_HDLC,UKB_H401_All,supplementary,8,1.1365225160047725,0.6518915156185963,1.981439240178033,0.6518094033936361,1.1999123261039353,0.6414411690292405,0.7880016963924057,0.6579616780623794,0.6437136078670254,0.119,1.0,1.3772255035942873,0.167075117819945,0.1184680181400473
KOGES_LDL,UKB_H401_All,supplementary,9,0.8549586000976892,0.6978868877277672,1.0473820625300705,0.1302753879742109,0.9123870040339782,0.4780128671915272,0.8293919217441403,0.2663929272318002,0.7912647178831997,0.457,0.0,0.8549586000976892,0.1302753879742109,0.4546489527617342
KOGES_TC,UKB_H401_All,supplementary,11,0.787363595014492,0.6201050132776524,0.9997362019012832,0.0497432248684459,0.699020094319493,0.0412114197545678,0.7665016116150103,0.2949140239256805,0.9050783638048698,0.854,0.0,0.787363595014492,0.0497432248684459,0.8467989900165891
KOGES_TG,UKB_H401_All,supplementary,10,0.7493564376072492,0.5233739872012614,1.0729136034945717,0.1151003533612713,0.9508554306462867,0.8819713152061891,1.0115829754305217,0.9693876191406304,0.3459925912714953,0.398,0.0,0.7927271533944149,0.1293249451482757,0.3734415121235149
KOGES_LIP,UKB_H401_All,supplementary,4,1.1745873689418271,0.9693810766894796,1.423233360392517,0.100471853211586,1.2515078937763358,0.0344920446916702,1.5705512368362573,0.1066671533029193,0.1943011644298595,0.613,0.0,1.1745873689418271,0.100471853211586,0.6216733615506709
BBJ_LDLC,UKB_H40_All,supplementary,6,0.9736643799709572,0.7777797632288904,1.2188827347327598,0.8158566016892188,1.0934190132784514,0.5028639100647143,1.4748363800299222,0.2203947306150338,0.1725620165343033,0.473,0.0,0.9736643799709572,0.8158566016892188,0.4621517269647367
BBJ_TC,UKB_H40_All,supplementary,16,0.6959037796890322,0.5127837965320495,0.944417654888229,0.0199617736342381,0.6669086523474222,0.1747534558622926,0.9004186012684108,0.8107953580683035,0.6128908254766656,0.011,0.0,0.7302581877930954,0.001776362300392,0.0132092723680168
BBJ_TG,UKB_H40_All,supplementary,9,1.1097031449863248,0.785075414012652,1.5685640487688164,0.5554982514602325,1.1843668229024182,0.4643354151274831,0.8300517275286511,0.6223158355769666,0.4079626151967744,0.133,0.0,1.111234198296351,0.3556496691312121,0.13218828179274
