exp_short,outcome,v7_role,n_iv,ivw_or,ivw_or_lci,ivw_or_uci,ivw_pval,tier
BBJ_TC,FinnGen_NTG,subtype,58,1.0475435571384186,0.7615855774903972,1.4408722230773177,0.7752121025656792,2
BBJ_TG,FinnGen_NTG,subtype,50,1.094737495855,0.8687408390012352,1.3795255512664717,0.4429297549344212,2
BBJ_HDLC,FinnGen_NTG,subtype,76,0.977854676743212,0.813782769140152,1.1750061626874924,0.811122054214106,2
KOGES_LDL,BBJ_Cataract,negative_control,43,0.942692138547419,0.8623722730936932,1.0304928576739572,0.1939788138991915,1
KOGES_TC,BBJ_Cataract,negative_control,44,0.9056869626454928,0.831224152238694,0.986820308453297,0.0236297382416257,1
KOGES_TG,BBJ_Cataract,negative_control,39,0.9039927746745264,0.8503650193070882,0.9610025319828408,0.0012169948926356,1
KOGES_LIP,BBJ_Cataract,negative_control,9,0.8682329865627101,0.8145424416329716,0.9254625424359094,1.4349274984059445e-05,1
BBJ_LDLC,BBJ_Cataract,negative_control,39,0.8627106602147472,0.7794348550409027,0.9548837576799252,0.0043529242356697,3
BBJ_TC,BBJ_Cataract,negative_control,65,0.8167637677523787,0.743603219271082,0.8971223295227126,2.3634566668442646e-05,3
BBJ_TG,BBJ_Cataract,negative_control,60,0.905663051203795,0.8412355486697515,0.9750248472176348,0.0084943827162656,3
BBJ_HDLC,BBJ_Cataract,negative_control,82,1.0241482564712503,0.9665668698418672,1.0851599449137974,0.4189678241001613,3
KOGES_LDL,TWB_Cataract,negative_control,25,1.0476747934229351,0.9323907857677178,1.1772129127917357,0.433606262150414,1
KOGES_TC,TWB_Cataract,negative_control,26,1.0169452786047284,0.913069332452458,1.1326387415714636,0.7598592387219263,1
KOGES_TG,TWB_Cataract,negative_control,23,1.0507137757003515,0.9266055027946046,1.1914449408263506,0.4404796919925154,1
KOGES_LIP,TWB_Cataract,negative_control,4,1.0284088026194151,0.918249978708886,1.151782945633369,0.6279562948601287,1
BBJ_LDLC,TWB_Cataract,negative_control,19,1.0568236092197942,0.8991510772745592,1.242145140269136,0.5025750978689387,1
BBJ_TC,TWB_Cataract,negative_control,29,0.9621136569447696,0.8217189035122935,1.1264955508788403,0.6312812900703615,1
BBJ_TG,TWB_Cataract,negative_control,27,1.0781594433719948,0.9431007138793844,1.2325595434560084,0.2704242496462332,1
BBJ_HDLC,TWB_Cataract,negative_control,37,0.9685168361689892,0.8896155784914503,1.0544159574334653,0.4606099774863795,1
KOGES_LDL,TWB_Macular,negative_control,25,0.8646818096003775,0.6476708816712242,1.1544051971651303,0.3240678816416893,1
KOGES_TC,TWB_Macular,negative_control,26,0.9289074869848052,0.7111617160793329,1.213323355106154,0.5884139622745379,1
KOGES_TG,TWB_Macular,negative_control,23,0.908125402832019,0.7244511342430244,1.1383676666205147,0.4032014518677888,1
