dataset,analysis_type,protein,n_ivs,ivw_beta,ivw_se,ivw_p,OR,OR_lo,OR_hi,wm_beta,wm_se,wm_p,egger_beta,egger_se,egger_p,egger_intercept,egger_intercept_p,Q,Q_df,Q_p,I2,direction_consistent,n_matched,outcome,ivw_p_fdr,ivw_p_bonf,seqid,discovery_OR,discovery_p,n_iv,method,egger_int_p,same_dir,replicates,beta,se
JCTF/Olink,proteome-wide,CFB,7.0,-0.0609637724587862,0.0340137230323785,0.0730803263417683,0.9408573241060956,0.8801783957586897,1.0057194184606788,-0.0321996327923199,0.0421763860046747,0.4451940684160411,0.1274155066035549,0.0520047543372886,0.0142826780849187,0.0459822754128984,0.000195059821491,2.4061405110361944,6.0,0.8788206032665814,0.0,False,7.0,BBJ_Glaucoma,0.2505611188860627,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,PBLD,4.0,-0.0877660330650608,0.053337537282305,0.0998701598132512,0.915975159555361,0.8250530380747869,1.0169170395157274,-0.0967034514200323,0.037086465022412,0.0091202522890059,0.0262758371198677,0.1693335809932762,0.876685690510983,-0.0255877315794767,0.4933955577817235,0.8246503398787299,3.0,0.843562364111895,0.0,False,4.0,BBJ_Glaucoma,0.3007184745509939,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,CHIT1,3.0,-0.035181552851078,0.0214039593996564,0.1002394915169979,0.965430123754137,0.9257664284256634,1.0067931772347367,-0.0298800591224952,0.0118107048632074,0.011409072028949,-0.0209541132584149,0.0190498169559142,0.2713477984036725,-0.0092223098634186,0.404048341619456,0.2671920854050493,2.0,0.8749434330102981,0.0,False,3.0,BBJ_Glaucoma,0.3007184745509939,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,MICB,12.0,-0.0163187697095534,0.0108463987815373,0.1324440688616244,0.9838136600706148,0.9631195695182015,1.0049523946707086,-0.0192731484143379,0.0142708060114927,0.1768461098734544,-0.016357395021093,0.0153530657661381,0.2866879226148637,7.848046883871008e-05,0.9921897530899352,18.713095029045075,11.0,0.0664420063193915,41.21763405290992,False,12.0,BBJ_Glaucoma,0.3508693039842619,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,MICA,12.0,-0.0163187697095534,0.0108463987815373,0.1324440688616244,0.9838136600706148,0.9631195695182015,1.0049523946707086,-0.0192731484143379,0.0142708060114927,0.1768461098734544,-0.016357395021093,0.0153530657661381,0.2866879226148637,7.848046883871008e-05,0.9921897530899352,18.713095029045075,11.0,0.0664420063193915,41.21763405290992,False,12.0,BBJ_Glaucoma,0.3508693039842619,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,ZP3,5.0,0.0476635830565468,0.0322061445040336,0.138885766160437,1.048817755903446,0.9846584392079928,1.1171576267432772,0.0560109887119822,0.0214683708190251,0.0090807128075276,0.0490546595933942,0.0135096002657084,0.0002822198418841,0.0039334095398156,0.35852375906041,0.6677099918984027,4.0,0.9552504199303548,0.0,True,5.0,BBJ_Glaucoma,0.3508693039842619,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,NAAA,4.0,-0.0513639208887322,0.0370877059277306,0.1660735072689403,0.9499329071931704,0.8833305280150114,1.0215570497673705,-0.0225835649645473,0.0392595768813522,0.5651309580816255,-0.0508185829757927,0.0316199962903794,0.1080179581632596,-0.0004092650481181,0.9577981753206986,1.3011587923504695,3.0,0.7288579279382934,0.0,False,4.0,BBJ_Glaucoma,0.3914014416305846,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,TREH,3.0,-0.0368532025558115,0.0269348235080945,0.1712381307133808,0.9638176109266208,0.9142552709598908,1.0160667557945666,-0.0501102252165516,0.0220788476712233,0.0232316641025813,-0.04191675551953,0.0188055996202581,0.0258171813620509,0.0059282836050185,0.4119484432572087,0.7277759392124177,2.0,0.694969048037986,0.0,False,3.0,BBJ_Glaucoma,0.3914014416305846,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,HSPB1,5.0,0.0580010102733526,0.0517812634522946,0.2626644272223171,1.05971606631265,0.9574418736956266,1.172915215068357,0.0946344669568456,0.0518948920418881,0.0682156515707215,0.0942343127179574,0.0416647600698106,0.0237142756150805,-0.0104818885679424,0.2021052616327572,1.6033117793378562,4.0,0.8081967812623299,0.0,True,5.0,BBJ_Glaucoma,0.5602041312389415,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,CDH15,3.0,-0.0438041288079662,0.0395814713597777,0.2684311462186595,0.9571414155436369,0.8856939537838029,1.0343524255021628,-0.1228481902952218,0.0801921007912108,0.125541231877623,-0.0487707356399254,0.0853374896298985,0.5676578990543955,0.0055863242484064,0.8287297631383934,4.513677864495211,2.0,0.1046808656100972,55.69023620998546,False,3.0,BBJ_Glaucoma,0.5602041312389415,1.0,,,,,,,,,,
